EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5713450033355,pink and yellow,479,1150,No Product Found,,Not Sure,No Offer ID
5713450033362,pink and yellow,1083,2600,No Product Found,,Not Sure,No Offer ID
5713450033379,pink and yellow,125,300,No Product Found,,Not Sure,No Offer ID
5713450033386,pink and yellow,187,450,No Product Found,,Not Sure,No Offer ID
5713450033393,pink and yellow,270,650,No Product Found,,Not Sure,No Offer ID
5713450033409,pink and yellow,479,1150,No Product Found,,Not Sure,No Offer ID
5713450033416,pink and yellow,1083,2600,No Product Found,,Not Sure,No Offer ID
5713450033423,pink and yellow,125,300,No Product Found,,Not Sure,No Offer ID
5713450033430,pink and yellow,187,450,No Product Found,,Not Sure,No Offer ID
5713450033447,pink and yellow,270,650,No Product Found,,Not Sure,No Offer ID
5713450033454,pink and yellow,479,1150,No Product Found,,Not Sure,No Offer ID
5713450033461,pink and yellow,1083,2600,No Product Found,,Not Sure,No Offer ID
5713450033478,blue and yellow,125,300,No Product Found,,Not Sure,No Offer ID
5713450033485,blue and yellow,187,450,No Product Found,,Not Sure,No Offer ID
5713450033492,blue and yellow,270,650,No Product Found,,Not Sure,No Offer ID
5713450033508,blue and yellow,479,1150,No Product Found,,Not Sure,No Offer ID
5713450033515,blue and yellow,1083,2600,No Product Found,,Not Sure,No Offer ID
5713450033522,blue and yellow,125,300,No Product Found,,Not Sure,No Offer ID
5713450033539,blue and yellow,187,450,No Product Found,,Not Sure,No Offer ID
5713450033546,blue and yellow,270,650,No Product Found,,Not Sure,No Offer ID
5713450033553,blue and yellow,479,1150,No Product Found,,Not Sure,No Offer ID
5713450033560,blue and yellow,1083,2600,No Product Found,,Not Sure,No Offer ID
5713450033577,blue and yellow,125,300,No Product Found,,Not Sure,No Offer ID
5713450033584,blue and yellow,187,450,No Product Found,,Not Sure,No Offer ID
5713450033591,blue and yellow,270,650,No Product Found,,Not Sure,No Offer ID
5713450033607,blue and yellow,479,1150,No Product Found,,Not Sure,No Offer ID
5713450033614,blue and yellow,1083,2600,No Product Found,,Not Sure,No Offer ID
5713450033713,beige and white,166,400,No Product Found,,Not Sure,No Offer ID
5713450033621,beige and white,250,600,No Product Found,,Not Sure,No Offer ID
5713450033638,beige and white,437,1050,No Product Found,,Not Sure,No Offer ID
